L_km,W_half,model,BER,SER,best_val_mse
0.1,3,MLP,0.05043501450048335,0.1008700290009667,0.2639180393782434
0.1,3,KAN,0.05141838061268709,0.10283676122537418,0.31452001008676816
0.1,5,MLP,0.0163177545169678,0.0326355090339356,0.09279921728901916
0.1,5,KAN,0.023434895659710648,0.046869791319421296,0.18696092806234157
0.5,3,MLP,0.05216840561352045,0.10430347678255941,0.2794074575837526
0.5,3,KAN,0.05326844228140938,0.10653688456281876,0.3244389498263998
0.5,5,MLP,0.018834588972598175,0.03766917794519635,0.09775941859910015
0.5,5,KAN,0.024584972331488767,0.049169944662977534,0.198133541668805
1.0,3,MLP,0.048151605053501786,0.09630321010700357,0.2733737215169745
1.0,3,KAN,0.061952065068835625,0.12383746124870829,0.3822447906985984
1.0,5,MLP,0.02290152676845123,0.04580305353690246,0.12858661815206673
1.0,5,KAN,0.03378558570571372,0.06757117141142743,0.255003879930622
2.0,3,MLP,0.18725624187472917,0.3619787326244208,1.3174097678436971
2.0,3,KAN,0.19990666355545184,0.384779492649755,1.410358150577523
2.0,5,MLP,0.13210880725381693,0.26048403226881794,0.8539791783162004
2.0,5,KAN,0.15257683845589706,0.30082005467031137,0.9859522752182902
